track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode
5E7Vu384i251zUafwizebk,This Is Lovely,0.708,0.261,0.571,135.98,0.00737,-9.38,0.146,262639,3,0.195,0.047,0
1LJP0CBP64Ve7NYun2kKNt,Time To Go,0.82,0.0761,0.49,126.001,0.888,-15.498,0.0921,307283,4,0.191,0.0586,1
3K49Hl9vCCmJgEeMtjZHA9,Poor Marcus,0.341,0.993,0.0158,119.952,0.95,-33.5,0.104,134254,9,0.0432,0.0367,0
4b6WRfxJRY40RBpl3TMQVq,Heartbreak,0.636,0.000168,0.961,126.997,0.9,-5.644,0.095,265017,6,0.398,0.0491,1
5VDnV2q6OrlrPsHsDZtIP1,6000 Ft.,0.656,0.0793,0.902,121.015,0.871,-9.453,0.0472,336092,8,0.434,0.0403,0
6UpWBI1nTv9PnqnGKuzIuT,Heartbreak - Kerri Chandler Remix,0.814,0.000596,0.512,127.002,0.888,-9.176,0.164,379948,5,0.432,0.049,0
5MmKCuXDk2WTMjtdmIbApT,I Have a Love (Overmono Remix),0.597,0.688,0.609,128.995,7.02e-06,-10.524,0.104,366149,5,0.174,0.232,0
3JpZBMzLz5OuxtJIIiOsTh,Mirage,0.0692,0.867,0.232,75.249,0.899,-15.767,0.11,263816,7,0.0683,0.0392,0
39TFHOZblm2qQaOTyvEVJ6,Falling Through,0.195,0.938,0.181,92.345,0.912,-18.186,0.0918,171248,3,0.0466,0.0399,1
5sICnSGfWkwVmIeD9WZ2Jk,Betty,0.634,0.18,0.529,192.149,1.63e-06,-6.727,0.106,136627,1,0.53,0.34,0
6HOLZtVDh5EgvPnW4z23n2,The Chocolate Conquistadors (From Grand Theft Auto Online: The Cayo Perico Heist),0.454,0.0567,0.667,128.931,0.768,-12.648,0.109,420719,9,0.452,0.0485,0
2LJiw69NLNuwimnzGS5uIS,Room Full of Rothko,0.613,0.000157,0.908,132.069,0.844,-6.535,0.211,411696,6,0.0872,0.0668,1
3Yagxg6rtkwN01AYzA862i,Loom (feat. Bonobo),0.545,0.988,0.18,156.694,0.906,-21.022,0.0686,226867,5,0.31,0.0337,0
5V28G1ktbqATUy4ioDzJZM,Jeanette,0.583,0.651,0.543,130.008,0.88,-14.645,0.115,374360,8,0.283,0.0501,0
0ZVzN7tnseNSxtnAhTNK39,Leaves Against The Sky,0.691,0.449,0.75,134.984,0.595,-15.229,0.11,278386,5,0.524,0.0693,0
1uqOM1hQkfntTy2Wrl6qfi,Smile For A While,0.672,0.144,0.869,124.006,0.501,-5.567,0.0989,403632,2,0.412,0.0279,1
3TNb4f7DjucnEFfb1eTGfi,Forever,0.251,0.979,0.127,77.1,0.91,-19.139,0.0999,230520,9,0.0905,0.0371,0
1HMM306maOy44gGpRbyugs,Woven Song,0.297,0.992,0.126,153.564,0.81,-23.791,0.134,190284,1,0.17,0.0408,0
3g5oI7fJYh9NaQMQ5x4ItH,Your Good Times Will Come,0.596,0.0809,0.914,125.983,0.885,-8.632,0.111,290753,0,0.627,0.0355,1
0pwYCGZE0qELSDnXyQBlWn,Everything U Need,0.717,0.462,0.813,133.007,0.932,-10.039,0.076,358280,6,0.176,0.0403,0
