track_id,track_name,danceability,acousticness,energy,tempo,instrumentalness,loudness,liveness,duration_ms,key,valence,speechiness,mode,play_number,playlist_number,tempo_scaled
4yDFhjGlhRcS5Ay8mBYuk5,993,0.724,0.000125,0.675,129.968,0.774,-12.311,0.116,363643,3,0.326,0.074,1,975,0,0.6318112655378766
6qmblg3jRsKu7N8yipxJvF,High & Choking - Jacques Greene Remix,0.704,0.237,0.674,131.994,0.88,-9.589,0.0727,278182,11,0.37,0.0587,0,976,0,0.6416602254663186
3pOnjFb8q7itcxMfyvOIuP,Sing,0.841,0.152,0.562,121.974,0.259,-9.745,0.679,408706,5,0.796,0.175,1,977,0,0.5929501669850807
5c1sQKsBkYTGdDQgICwSo5,Sing - Floating Points Remix,0.524,0.754,0.451,128.004,0.916,-13.062,0.0528,837300,9,0.106,0.0796,0,978,0,0.6222637051728915
6uBiuvgYqWdE8IN9EaU86P,Coorabell,0.771,0.00408,0.826,134.997,0.873,-10.148,0.109,364299,1,0.383,0.0628,1,979,0,0.6562586591608454
3NcXSz4d3J7IfUjfNlT4CV,ARP3,0.824,0.0372,0.596,124.943,0.918,-10.38,0.0751,560810,5,0.27,0.0936,0,980,0,0.6073833170480343
1ZxaFVd7MSpXVkFSedZ4CI,Pods,0.628,0.117,0.817,133.916,0.668,-10.403,0.121,242893,10,0.186,0.087,0,981,0,0.6510036119334782
6ydIOoM8PpA97g6MX4aDbW,Spiritual Dance - Mark Francis Re-Edit,0.538,1.82e-05,0.924,124.023,0.807,-8.785,0.12,312960,7,0.239,0.0394,1,982,0,0.6029109364289985
0O9OPv8X9O3zXLmckWcUtO,Blue Monday - 2020 Digital Master,0.793,0.000477,0.662,130.288,0.897,-10.416,0.0751,452027,0,0.817,0.058,1,983,0,0.6333668761879762
12zb4jCoGBd1tvUFZVjZO1,Aechmea - Airhead Remix,0.712,0.00877,0.552,134.993,0.858,-13.02,0.124,318486,5,0.376,0.0538,0,984,0,0.656239214027719
2t2uYEKg1PEmYk2cqlandN,Overthinker - Stones Taro Remix,0.721,0.0726,0.636,129.995,0.22,-8.654,0.121,294534,1,0.383,0.0708,1,985,0,0.6319425201864789
6JV2JOEocMgcZxYSZelKcc,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",0.666,0.0123,0.83,113.03,0.0,-5.715,0.191,236002,0,0.702,0.0751,1,986,0,0.5494708493148022
20dPzZHV2yKNgbbqNTS8O0,Calling Out,0.811,0.0348,0.78,136.995,0.198,-6.86,0.106,281371,4,0.196,0.149,0,987,0,0.6659715031574035
6Rjze1YHjviFH1TZMxpyLw,C-Life,0.566,0.18,0.576,165.29,0.181,-9.605,0.101,52631,1,0.0804,0.269,1,988,0,0.8035215136091625
1odujngpVGkhjRXUEgGVr1,Everything U Need,0.717,0.462,0.813,133.007,0.932,-10.039,0.076,358280,6,0.176,0.0403,0,989,0,0.6465847054305396
3bkz6OSduvWkR8WHVDIs8b,ITJ16A1,0.789,0.0596,0.722,133.998,0.914,-10.39,0.091,398879,10,0.189,0.0588,0,990,0,0.6514022371625662
6rOO4rvFRvljFZlcpylgPR,Higher Elevation,0.744,0.00133,0.728,128.002,0.837,-10.244,0.142,373454,9,0.506,0.0458,1,991,0,0.6222539826063285
6tifCCTIVBLC2TmTquYG7G,Fine Day Anthem,0.771,0.000292,0.808,138.011,0.0671,-3.842,0.0848,193690,1,0.527,0.0526,0,992,0,0.6709105669714691
1n01MYM8IEQHSE2VoKJZiO,Sesame,0.651,0.000497,0.927,149.983,1.39e-06,-6.484,0.114,160000,11,0.563,0.0823,0,993,0,0.7291098504183134
1ZnghCVtXCrtmKJH32z4UK,Good Lies,0.688,0.0694,0.809,126.019,0.88,-4.781,0.602,160127,10,0.615,0.0474,0,994,0,0.6126140578589936
4uc7mfjzacXWZw46oC3ABE,Tides,0.6,0.791,0.314,126.948,0.419,-9.109,0.0681,226147,4,0.201,0.0351,0,995,0,0.6171301900275634
1f4cKwcKfNiLbQr8x2tZ3C,Melt!,0.785,0.00772,0.919,131.037,0.916,-13.059,0.11,214307,7,0.443,0.0552,1,996,0,0.6370079773658651
2kts9CqkgeHyJLIN22WAwb,Castles,0.844,0.0766,0.662,127.957,0.0287,-10.259,0.121,258968,11,0.53,0.0452,0,997,0,0.6220352248586581
57vEXvnoTpXlLi3wYES4uQ,Desmond's Empire,0.758,0.0515,0.672,120.01,0.0861,-9.411,0.114,276008,11,0.178,0.0455,1,998,0,0.5834026066200956
7z2oL4N6nkOY39PXLASCpO,Can't Help It,0.791,0.0868,0.535,125.008,0.758,-12.054,0.179,338162,5,0.363,0.0461,0,999,0,0.6076993004613358
3qAvjZ84KUD5cCWkt4iCcb,Szikra,0.798,0.291,0.927,121.999,0.744,-10.144,0.271,401574,7,0.874,0.0762,0,1000,0,0.5930716990671198
5x56Jr73veMZZdxJsti96e,Love At First Fight,0.577,0.124,0.769,163.931,5.58e-05,-7.241,0.0915,192079,0,0.649,0.0466,1,1001,0,0.7969150296295217
4JfuiOWlWCkjP6OKurHjSn,Walk This Way,0.653,0.0115,0.73,108.709,1.02e-05,-10.613,0.0776,220311,5,0.894,0.0429,1,1002,0,0.5284652442551785
0Bo5fjMtTfCD8vHGebivqc,Axel F,0.842,0.288,0.927,138.004,0.653,-1.496,0.0972,171739,2,0.866,0.0439,1,1003,0,0.6708765379884981
7N3PAbqfTjSEU1edb2tY8j,Jump - 2015 Remaster,0.572,0.171,0.835,129.981,0.000377,-6.219,0.0702,241600,0,0.795,0.0317,1,1004,0,0.631874462220537
